"","i","j","t","prob","collabType"
"107","4","29","2","0.000117920962417314","INTERNATIONAL"
"108","4","33","2","0.00053802818768749","INTERNATIONAL"
"109","4","35","2","0.00126961175677468","INTERNATIONAL"
"110","4","36","2","0.00126961175677468","INTERNATIONAL"
"111","4","37","2","0.00126961175677468","INTERNATIONAL"
"112","4","38","2","0.000117920962417314","INTERNATIONAL"
"113","4","40","2","0.000117920962417314","INTERNATIONAL"
"114","4","41","2","0.000117920962417314","INTERNATIONAL"
"115","4","48","2","0.000117920962417314","INTERNATIONAL"
"116","4","49","2","0.000117920962417314","INTERNATIONAL"
"117","4","50","2","0.000117920962417314","INTERNATIONAL"
"118","4","51","2","0.000117920962417314","INTERNATIONAL"
"119","4","52","2","0.000117920962417314","INTERNATIONAL"
"120","4","53","2","0.000117920962417314","INTERNATIONAL"
"121","4","54","2","0.000117920962417314","INTERNATIONAL"
"122","4","57","2","0.000117920962417314","INTERNATIONAL"
"123","4","58","2","0.000117920962417314","INTERNATIONAL"
"124","4","66","2","0.000117920962417314","INTERNATIONAL"
"125","4","69","2","0.000117920962417314","INTERNATIONAL"
"126","4","70","2","0.000282625494621651","INTERNATIONAL"
"127","4","74","2","0.000394362928728886","INTERNATIONAL"
"128","4","75","2","0.000117920962417314","INTERNATIONAL"
"129","4","76","2","0.000117920962417314","INTERNATIONAL"
"130","4","77","2","0.000117920962417314","INTERNATIONAL"
"131","4","78","2","0.000117920962417314","INTERNATIONAL"
"132","4","79","2","0.000117920962417314","INTERNATIONAL"
"133","4","80","2","0.000117920962417314","INTERNATIONAL"
"134","4","81","2","0.000117920962417314","INTERNATIONAL"
"135","4","82","2","0.000117920962417314","INTERNATIONAL"
"136","4","83","2","0.000117920962417314","INTERNATIONAL"
"137","4","85","2","0.000117920962417314","INTERNATIONAL"
"138","4","86","2","0.000117920962417314","INTERNATIONAL"
"139","4","87","2","0.000117920962417314","INTERNATIONAL"
"140","4","88","2","0.000117920962417314","INTERNATIONAL"
"141","4","90","2","0.000117920962417314","INTERNATIONAL"
"142","4","91","2","0.000117920962417314","INTERNATIONAL"
"143","4","92","2","0.000117920962417314","INTERNATIONAL"
"144","4","93","2","0.000117920962417314","INTERNATIONAL"
"145","4","94","2","0.000117920962417314","INTERNATIONAL"
"146","4","95","2","0.000117920962417314","INTERNATIONAL"
"147","4","96","2","0.000117920962417314","INTERNATIONAL"
"148","4","97","2","0.000117920962417314","INTERNATIONAL"
"149","4","99","2","0.000117920962417314","INTERNATIONAL"
"150","4","100","2","0.000117920962417314","INTERNATIONAL"
"151","4","101","2","0.000117920962417314","INTERNATIONAL"
"152","4","102","2","0.000117920962417314","INTERNATIONAL"
"153","4","103","2","0.00233511006910861","INTERNATIONAL"
"154","4","115","2","0.0255507000004077","INTERNATIONAL"
"155","4","117","2","0.0255507000004077","INTERNATIONAL"
"156","4","118","2","0.0255507000004077","INTERNATIONAL"
"157","4","119","2","0.0255507000004077","INTERNATIONAL"
"158","4","120","2","0.0255507000004077","INTERNATIONAL"
"159","4","121","2","0.0255507000004077","INTERNATIONAL"
"160","4","122","2","0.0255507000004077","INTERNATIONAL"
"161","4","123","2","0.0255507000004077","INTERNATIONAL"
"162","4","125","2","0.0255507000004077","INTERNATIONAL"
"163","5","4","2","0.0599225301335911","INTERNATIONAL"
"164","5","6","2","0.00308081463207148","INTERNATIONAL"
"165","5","8","2","0.00308081463207148","INTERNATIONAL"
"166","5","10","2","0.000117920962417314","INTERNATIONAL"
"167","5","11","2","0.00375122253931337","INTERNATIONAL"
"168","5","12","2","0.000117920962417314","INTERNATIONAL"
"169","5","15","2","0.000117920962417314","INTERNATIONAL"
"170","5","18","2","0.000117920962417314","INTERNATIONAL"
"171","5","19","2","0.000394362928728886","INTERNATIONAL"
"172","5","20","2","0.000117920962417314","INTERNATIONAL"
"173","5","25","2","0.000117920962417314","INTERNATIONAL"
"174","5","26","2","0.000117920962417314","INTERNATIONAL"
"175","5","27","2","0.000117920962417314","INTERNATIONAL"
"176","5","29","2","0.000117920962417314","INTERNATIONAL"
"177","5","33","2","0.00053802818768749","INTERNATIONAL"
"178","5","35","2","0.00126961175677468","INTERNATIONAL"
"179","5","36","2","0.00126961175677468","INTERNATIONAL"
"180","5","37","2","0.00126961175677468","INTERNATIONAL"
"181","5","38","2","0.000117920962417314","INTERNATIONAL"
"182","5","40","2","0.000117920962417314","INTERNATIONAL"
"183","5","41","2","0.000117920962417314","INTERNATIONAL"
"184","5","48","2","0.000117920962417314","INTERNATIONAL"
"185","5","49","2","0.000117920962417314","INTERNATIONAL"
"186","5","50","2","0.000117920962417314","INTERNATIONAL"
"187","5","51","2","0.000117920962417314","INTERNATIONAL"
"188","5","52","2","0.000117920962417314","INTERNATIONAL"
"189","5","53","2","0.000117920962417314","INTERNATIONAL"
"190","5","54","2","0.000117920962417314","INTERNATIONAL"
"191","5","57","2","0.000117920962417314","INTERNATIONAL"
"192","5","58","2","0.000117920962417314","INTERNATIONAL"
"193","5","66","2","0.000117920962417314","INTERNATIONAL"
"194","5","69","2","0.000117920962417314","INTERNATIONAL"
"195","5","70","2","0.000282625494621651","INTERNATIONAL"
"196","5","74","2","0.000394362928728886","INTERNATIONAL"
"197","5","75","2","0.000117920962417314","INTERNATIONAL"
"198","5","76","2","0.000117920962417314","INTERNATIONAL"
"199","5","77","2","0.000117920962417314","INTERNATIONAL"
"200","5","78","2","0.000117920962417314","INTERNATIONAL"
"201","5","79","2","0.000117920962417314","INTERNATIONAL"
"202","5","80","2","0.000117920962417314","INTERNATIONAL"
"203","5","81","2","0.000117920962417314","INTERNATIONAL"
"204","5","82","2","0.000117920962417314","INTERNATIONAL"
"205","5","83","2","0.000117920962417314","INTERNATIONAL"
"206","5","85","2","0.000117920962417314","INTERNATIONAL"
"207","5","86","2","0.000117920962417314","INTERNATIONAL"
"208","5","87","2","0.000117920962417314","INTERNATIONAL"
"209","5","88","2","0.000117920962417314","INTERNATIONAL"
"210","5","90","2","0.000117920962417314","INTERNATIONAL"
"211","5","91","2","0.000117920962417314","INTERNATIONAL"
"212","5","92","2","0.000117920962417314","INTERNATIONAL"
"213","5","93","2","0.000117920962417314","INTERNATIONAL"
"214","5","94","2","0.000117920962417314","INTERNATIONAL"
"215","5","95","2","0.000117920962417314","INTERNATIONAL"
"216","5","96","2","0.000117920962417314","INTERNATIONAL"
"217","5","97","2","0.000117920962417314","INTERNATIONAL"
"218","5","99","2","0.000117920962417314","INTERNATIONAL"
"219","5","100","2","0.000117920962417314","INTERNATIONAL"
"220","5","101","2","0.000117920962417314","INTERNATIONAL"
"221","5","102","2","0.000117920962417314","INTERNATIONAL"
"222","5","103","2","0.00233511006910861","INTERNATIONAL"
"223","5","115","2","0.0255507000004077","INTERNATIONAL"
"224","5","117","2","0.0255507000004077","INTERNATIONAL"
"225","5","118","2","0.0255507000004077","INTERNATIONAL"
"226","5","119","2","0.0255507000004077","INTERNATIONAL"
"227","5","120","2","0.0255507000004077","INTERNATIONAL"
"228","5","121","2","0.0255507000004077","INTERNATIONAL"
"229","5","122","2","0.0255507000004077","INTERNATIONAL"
"230","5","123","2","0.0255507000004077","INTERNATIONAL"
"231","5","125","2","0.0255507000004077","INTERNATIONAL"
"232","6","4","2","0.00308081463207148","INTERNATIONAL"
"233","6","5","2","0.00308081463207148","INTERNATIONAL"
"234","6","8","2","0.8810382403466","INTERNATIONAL"
"235","6","10","2","0.00126961175677468","INTERNATIONAL"
"236","6","11","2","0.0390038188046345","INTERNATIONAL"
"237","6","12","2","0.00126961175677468","INTERNATIONAL"
"238","6","15","2","0.00126961175677468","INTERNATIONAL"
"239","6","18","2","0.00126961175677468","INTERNATIONAL"
"240","6","19","2","0.00423452684920892","INTERNATIONAL"
"241","6","20","2","0.00126961175677468","INTERNATIONAL"
"242","6","25","2","0.00126961175677468","INTERNATIONAL"
"243","6","26","2","0.00126961175677468","INTERNATIONAL"
"244","6","27","2","0.00126961175677468","INTERNATIONAL"
"245","6","29","2","0.00126961175677468","INTERNATIONAL"
"246","6","33","2","0.00576907867091284","INTERNATIONAL"
"247","6","35","2","0.752874246937982","INTERNATIONAL"
"248","6","36","2","0.752874246937982","INTERNATIONAL"
"249","6","37","2","0.0135173808305383","INTERNATIONAL"
"250","6","38","2","0.00126961175677468","INTERNATIONAL"
"251","6","40","2","0.00126961175677468","INTERNATIONAL"
"252","6","41","2","0.00126961175677468","INTERNATIONAL"
"253","6","48","2","0.00126961175677468","INTERNATIONAL"
"254","6","49","2","0.00126961175677468","INTERNATIONAL"
"255","6","50","2","0.00126961175677468","INTERNATIONAL"
"256","6","51","2","0.00126961175677468","INTERNATIONAL"
"257","6","52","2","0.00126961175677468","INTERNATIONAL"
"258","6","53","2","0.00126961175677468","INTERNATIONAL"
"259","6","54","2","0.00126961175677468","INTERNATIONAL"
"260","6","57","2","0.00126961175677468","INTERNATIONAL"
"261","6","58","2","0.00126961175677468","INTERNATIONAL"
"262","6","66","2","0.00126961175677468","INTERNATIONAL"
"263","6","69","2","0.00126961175677468","INTERNATIONAL"
"264","6","70","2","0.00303803746230725","INTERNATIONAL"
"265","6","74","2","0.00423452684920892","INTERNATIONAL"
"266","6","75","2","0.00126961175677468","INTERNATIONAL"
"267","6","76","2","0.00126961175677468","INTERNATIONAL"
"268","6","77","2","0.00126961175677468","INTERNATIONAL"
"269","6","78","2","0.00126961175677468","INTERNATIONAL"
"270","6","79","2","0.00126961175677468","INTERNATIONAL"
"271","6","80","2","0.00126961175677468","INTERNATIONAL"
"272","6","81","2","0.00126961175677468","INTERNATIONAL"
"273","6","82","2","0.00126961175677468","INTERNATIONAL"
"274","6","83","2","0.00126961175677468","INTERNATIONAL"
"275","6","85","2","0.00126961175677468","INTERNATIONAL"
"276","6","86","2","0.00126961175677468","INTERNATIONAL"
"277","6","87","2","0.00126961175677468","INTERNATIONAL"
"278","6","88","2","0.00126961175677468","INTERNATIONAL"
"279","6","90","2","0.00126961175677468","INTERNATIONAL"
"280","6","91","2","0.00126961175677468","INTERNATIONAL"
"281","6","92","2","0.00126961175677468","INTERNATIONAL"
"282","6","93","2","0.00126961175677468","INTERNATIONAL"
"283","6","94","2","0.00126961175677468","INTERNATIONAL"
"284","6","95","2","0.00126961175677468","INTERNATIONAL"
"285","6","96","2","0.00126961175677468","INTERNATIONAL"
"286","6","97","2","0.00126961175677468","INTERNATIONAL"
"287","6","99","2","0.00126961175677468","INTERNATIONAL"
"288","6","100","2","0.00126961175677468","INTERNATIONAL"
"289","6","101","2","0.00126961175677468","INTERNATIONAL"
"290","6","102","2","0.00126961175677468","INTERNATIONAL"
"291","6","103","2","0.0246083304805209","INTERNATIONAL"
"292","6","115","2","0.00126961175677468","INTERNATIONAL"
"293","6","117","2","0.00126961175677468","INTERNATIONAL"
"294","6","118","2","0.00126961175677468","INTERNATIONAL"
"295","6","119","2","0.00126961175677468","INTERNATIONAL"
"296","6","120","2","0.00126961175677468","INTERNATIONAL"
"297","6","121","2","0.00126961175677468","INTERNATIONAL"
"298","6","122","2","0.00126961175677468","INTERNATIONAL"
"299","6","123","2","0.00126961175677468","INTERNATIONAL"
"300","6","125","2","0.00126961175677468","INTERNATIONAL"
"301","7","1","2","0.799611192863177","NATIONAL"
"302","7","2","2","0.303728512207175","NATIONAL"
"303","7","3","2","0.982912890031119","NATIONAL"
"304","7","9","2","0.00977720290992301","NATIONAL"
"305","7","13","2","0.0316660144821804","NATIONAL"
"306","7","14","2","0.00977720290992301","NATIONAL"
"307","7","16","2","0.00977720290992301","NATIONAL"
"308","7","17","2","0.00977720290992301","NATIONAL"
"309","7","22","2","0.71736487386212","NATIONAL"
"310","7","30","2","0.0517617475091303","NATIONAL"
"311","7","31","2","0.0431254116266078","NATIONAL"
"312","7","32","2","0.0431254116266078","NATIONAL"
"313","7","34","2","0.959452865159703","NATIONAL"
"314","7","39","2","0.0319737801697267","NATIONAL"
"315","7","65","2","0.00977720290992301","NATIONAL"
"316","7","68","2","0.00977720290992301","NATIONAL"
"317","7","71","2","0.0517617475091303","NATIONAL"
"318","7","72","2","0.0517617475091303","NATIONAL"
"319","7","73","2","0.00977720290992301","NATIONAL"
"320","7","105","2","0.163849966429962","NATIONAL"
"321","7","109","2","0.163849966429962","NATIONAL"
"322","7","130","2","0.00977720290992301","NATIONAL"
"323","7","131","2","0.00977720290992301","NATIONAL"
"324","7","132","2","0.00977720290992301","NATIONAL"
"325","7","133","2","0.00977720290992301","NATIONAL"
"326","7","140","2","0.00977720290992301","NATIONAL"
"327","7","151","2","0.00977720290992301","NATIONAL"
"328","7","153","2","0.00977720290992301","NATIONAL"
"329","7","156","2","0.00977720290992301","NATIONAL"
"330","7","163","2","0.84218706666555","NATIONAL"
"331","7","172","2","0.00977720290992301","NATIONAL"
"332","8","4","2","0.00308081463207148","INTERNATIONAL"
"333","8","5","2","0.00308081463207148","INTERNATIONAL"
"334","8","6","2","0.8810382403466","INTERNATIONAL"
"335","8","10","2","0.00126961175677468","INTERNATIONAL"
"336","8","11","2","0.0390038188046345","INTERNATIONAL"
"337","8","12","2","0.00126961175677468","INTERNATIONAL"
"338","8","15","2","0.00126961175677468","INTERNATIONAL"
"339","8","18","2","0.00126961175677468","INTERNATIONAL"
"340","8","19","2","0.00423452684920892","INTERNATIONAL"
"341","8","20","2","0.00126961175677468","INTERNATIONAL"
"342","8","25","2","0.00126961175677468","INTERNATIONAL"
"343","8","26","2","0.00126961175677468","INTERNATIONAL"
"344","8","27","2","0.00126961175677468","INTERNATIONAL"
"345","8","29","2","0.00126961175677468","INTERNATIONAL"
"346","8","33","2","0.00576907867091284","INTERNATIONAL"
"347","8","35","2","0.752874246937982","INTERNATIONAL"
"348","8","36","2","0.752874246937982","INTERNATIONAL"
"349","8","37","2","0.0135173808305383","INTERNATIONAL"
"350","8","38","2","0.00126961175677468","INTERNATIONAL"
"351","8","40","2","0.00126961175677468","INTERNATIONAL"
"352","8","41","2","0.00126961175677468","INTERNATIONAL"
"353","8","48","2","0.00126961175677468","INTERNATIONAL"
"354","8","49","2","0.00126961175677468","INTERNATIONAL"
"355","8","50","2","0.00126961175677468","INTERNATIONAL"
"356","8","51","2","0.00126961175677468","INTERNATIONAL"
"357","8","52","2","0.00126961175677468","INTERNATIONAL"
"358","8","53","2","0.00126961175677468","INTERNATIONAL"
"359","8","54","2","0.00126961175677468","INTERNATIONAL"
"360","8","57","2","0.00126961175677468","INTERNATIONAL"
"361","8","58","2","0.00126961175677468","INTERNATIONAL"
"362","8","66","2","0.00126961175677468","INTERNATIONAL"
"363","8","69","2","0.00126961175677468","INTERNATIONAL"
"364","8","70","2","0.00303803746230725","INTERNATIONAL"
"365","8","74","2","0.00423452684920892","INTERNATIONAL"
"366","8","75","2","0.00126961175677468","INTERNATIONAL"
"367","8","76","2","0.00126961175677468","INTERNATIONAL"
"368","8","77","2","0.00126961175677468","INTERNATIONAL"
"369","8","78","2","0.00126961175677468","INTERNATIONAL"
"370","8","79","2","0.00126961175677468","INTERNATIONAL"
"371","8","80","2","0.00126961175677468","INTERNATIONAL"
"372","8","81","2","0.00126961175677468","INTERNATIONAL"
"373","8","82","2","0.00126961175677468","INTERNATIONAL"
"374","8","83","2","0.00126961175677468","INTERNATIONAL"
"375","8","85","2","0.00126961175677468","INTERNATIONAL"
"376","8","86","2","0.00126961175677468","INTERNATIONAL"
"377","8","87","2","0.00126961175677468","INTERNATIONAL"
"378","8","88","2","0.00126961175677468","INTERNATIONAL"
"379","8","90","2","0.00126961175677468","INTERNATIONAL"
"380","8","91","2","0.00126961175677468","INTERNATIONAL"
"381","8","92","2","0.00126961175677468","INTERNATIONAL"
"382","8","93","2","0.00126961175677468","INTERNATIONAL"
"383","8","94","2","0.00126961175677468","INTERNATIONAL"
"384","8","95","2","0.00126961175677468","INTERNATIONAL"
"385","8","96","2","0.00126961175677468","INTERNATIONAL"
"386","8","97","2","0.00126961175677468","INTERNATIONAL"
"387","8","99","2","0.00126961175677468","INTERNATIONAL"
"388","8","100","2","0.00126961175677468","INTERNATIONAL"
"389","8","101","2","0.00126961175677468","INTERNATIONAL"
"390","8","102","2","0.00126961175677468","INTERNATIONAL"
"391","8","103","2","0.0246083304805209","INTERNATIONAL"
"392","8","115","2","0.00126961175677468","INTERNATIONAL"
"393","8","117","2","0.00126961175677468","INTERNATIONAL"
"394","8","118","2","0.00126961175677468","INTERNATIONAL"
"395","8","119","2","0.00126961175677468","INTERNATIONAL"
"396","8","120","2","0.00126961175677468","INTERNATIONAL"
"397","8","121","2","0.00126961175677468","INTERNATIONAL"
"398","8","122","2","0.00126961175677468","INTERNATIONAL"
"399","8","123","2","0.00126961175677468","INTERNATIONAL"
"400","8","125","2","0.00126961175677468","INTERNATIONAL"
"401","9","1","2","0.00977720290992301","NATIONAL"
"402","9","2","2","0.00107823823760024","NATIONAL"
"403","9","3","2","0.000639798834838165","NATIONAL"
"404","9","7","2","0.00977720290992301","NATIONAL"
"405","9","13","2","0.0419023682260725","NATIONAL"
"406","9","14","2","0.013033015262126","NATIONAL"
"407","9","16","2","0.013033015262126","NATIONAL"
"408","9","17","2","5.93902509874497e-05","NATIONAL"
"409","9","22","2","0.00624124516993048","NATIONAL"
"410","9","30","2","0.068037809539693","NATIONAL"
"411","9","31","2","0.000271031491573674","NATIONAL"
"412","9","32","2","0.000271031491573674","NATIONAL"
"413","9","34","2","0.000639798834838165","NATIONAL"
"414","9","39","2","0.00019864600302677","NATIONAL"
"415","9","65","2","5.93902509874497e-05","NATIONAL"
"416","9","68","2","0.013033015262126","NATIONAL"
"417","9","71","2","0.000328252561435224","NATIONAL"
"418","9","72","2","0.000328252561435224","NATIONAL"
"419","9","73","2","5.93902509874497e-05","NATIONAL"
"420","9","105","2","0.00117736133377327","NATIONAL"
"421","9","109","2","0.00117736133377327","NATIONAL"
"422","9","130","2","5.93902509874497e-05","NATIONAL"
"423","9","131","2","5.93902509874497e-05","NATIONAL"
"424","9","132","2","5.93902509874497e-05","NATIONAL"
"425","9","133","2","5.93902509874497e-05","NATIONAL"
"426","9","140","2","5.93902509874497e-05","NATIONAL"
"427","9","151","2","5.93902509874497e-05","NATIONAL"
"428","9","153","2","5.93902509874497e-05","NATIONAL"
"429","9","156","2","5.93902509874497e-05","NATIONAL"
"430","9","163","2","5.93902509874497e-05","NATIONAL"
"431","9","172","2","0.013033015262126","NATIONAL"
